,ID,Label,Category,Set
232,B,bench,heavy,High
233,B,bench,heavy,High
234,B,bench,heavy,High
235,B,bench,heavy,High
236,B,bench,heavy,High
237,B,bench,heavy,High
238,B,bench,heavy,High
239,B,bench,heavy,High
240,A,bench,heavy,Low
241,A,bench,heavy,Low
242,A,bench,heavy,Low
243,A,bench,heavy,Low
244,A,bench,heavy,Low
245,A,bench,heavy,Low
246,A,bench,heavy,Low
247,A,bench,heavy,Low
248,A,bench,heavy,Low
249,A,bench,heavy,Low
250,A,bench,heavy,Low
251,A,bench,heavy,Low
252,A,bench,heavy,Low
253,A,bench,heavy,Low
254,A,bench,heavy,Low
255,A,bench,heavy,Low
256,A,bench,heavy,Low
257,A,bench,heavy,Low
258,A,bench,heavy,Low
259,A,bench,heavy,Low
260,A,bench,heavy,Low
261,A,bench,heavy,Low
262,A,bench,heavy,Low
263,A,bench,heavy,Low
264,A,bench,heavy,Low
265,A,bench,heavy,Low
266,A,bench,heavy,Low
267,A,bench,heavy,Low
268,A,bench,heavy,Low
269,A,bench,heavy,Low
270,A,bench,heavy,Low
271,A,bench,heavy,Low
272,A,bench,heavy,Low
273,A,bench,heavy,Low
274,A,bench,heavy,Low
275,A,bench,heavy,Low
276,A,bench,heavy,Low
277,A,bench,heavy,Low
278,A,bench,heavy,Low
279,A,bench,heavy,Low
280,A,bench,heavy,Low
281,A,bench,heavy,Low
282,A,bench,heavy,Low
283,A,bench,heavy,Low
284,A,bench,heavy,Low
285,A,bench,heavy,Low
286,A,bench,heavy,Low
287,A,bench,heavy,Low
288,A,bench,heavy,Low
289,A,bench,heavy,Low
290,A,bench,heavy,Low
291,A,bench,heavy,Low
292,A,bench,heavy,Low
293,A,bench,heavy,Low
294,A,bench,heavy,Low
295,A,bench,heavy,Low
296,A,bench,heavy,Low
297,A,bench,heavy,Low
298,A,bench,heavy,Low
299,A,bench,heavy,Low
300,A,bench,heavy,Low
301,A,bench,heavy,Low
302,A,bench,heavy,Low
303,A,bench,heavy,Low
304,A,bench,heavy,Low
305,A,bench,heavy,Low
306,A,bench,heavy,Low
307,A,bench,heavy,Low
308,A,bench,heavy,Low
309,A,bench,heavy,Low
310,A,bench,heavy,Low
311,A,bench,heavy,Low
312,A,ohp,heavy,Low
313,A,ohp,heavy,Low
314,A,ohp,heavy,Low
315,A,ohp,heavy,Low
316,A,ohp,heavy,Low
317,A,ohp,heavy,Low
318,A,ohp,heavy,Low
319,A,ohp,heavy,Low
320,A,ohp,heavy,Low
321,A,ohp,heavy,Low
322,A,ohp,heavy,Low
323,A,ohp,heavy,Low
324,A,ohp,heavy,Low
325,A,ohp,heavy,Low
326,A,ohp,heavy,Low
327,A,ohp,heavy,Low
328,A,ohp,heavy,Low
329,A,ohp,heavy,Low
330,A,ohp,heavy,Low
331,A,ohp,heavy,Low
332,A,ohp,heavy,Low
333,A,ohp,heavy,Low
334,A,ohp,heavy,Low
335,A,ohp,heavy,Low
336,A,ohp,heavy,Low
337,A,ohp,heavy,Low
338,A,ohp,heavy,Low
339,A,ohp,heavy,Low
340,A,ohp,heavy,Low
341,A,ohp,heavy,Low
342,A,ohp,heavy,Low
343,A,ohp,heavy,Low
344,A,ohp,heavy,Low
345,A,ohp,heavy,Low
346,A,ohp,heavy,Low
347,A,ohp,heavy,Low
348,A,ohp,heavy,Low
349,A,ohp,heavy,Low
350,A,ohp,heavy,Low
351,A,ohp,heavy,Low
352,A,ohp,heavy,Low
353,A,ohp,heavy,Low
354,A,ohp,heavy,Low
355,A,ohp,heavy,Low
356,A,ohp,heavy,Low
357,A,ohp,heavy,Low
358,A,ohp,heavy,Low
359,A,ohp,heavy,Low
360,A,ohp,heavy,Low
361,A,ohp,heavy,Low
362,A,ohp,heavy,Low
363,A,ohp,heavy,Low
364,A,ohp,heavy,Low
365,A,ohp,heavy,Low
366,A,ohp,heavy,Low
367,A,ohp,heavy,Low
368,A,ohp,heavy,Low
369,A,ohp,heavy,Low
370,A,ohp,heavy,Low
371,A,ohp,heavy,Low
372,A,ohp,heavy,Low
373,A,ohp,heavy,Low
374,A,ohp,heavy,Low
375,A,ohp,heavy,Low
376,A,ohp,heavy,Low
377,A,ohp,heavy,Low
378,A,ohp,heavy,Low
379,A,ohp,heavy,Low
380,A,ohp,heavy,Low
381,A,ohp,heavy,Low
382,A,ohp,heavy,Low
383,A,ohp,heavy,Low
384,A,ohp,heavy,Low
385,A,ohp,heavy,Low
386,A,ohp,heavy,Low
387,A,ohp,heavy,Low
388,B,ohp,heavy,High
389,B,ohp,heavy,High
390,B,ohp,heavy,High
391,B,ohp,heavy,High
392,B,ohp,heavy,High
393,B,ohp,heavy,High
394,B,ohp,heavy,High
395,B,ohp,heavy,High
396,B,ohp,heavy,High
397,B,ohp,heavy,High
398,B,ohp,heavy,High
399,B,ohp,heavy,High
400,B,ohp,heavy,High
401,B,ohp,heavy,High
